PROVEEDOR;REF.;COLONIALES;FORMATO;PRECIO/FORMATO
CAFER;30001;ACELGA HOJA;KG;1.09
CAFER;30005;AJOS TIERNOS CONGELADOS;KG;3.4
CAFER;30008;ALBONDIGA MIXTA CONGELADA;KG;1.79
CAFER;30012;ALCACHOFA TROCEADA;KG;3.59
CAFER;30015;ALITAS POLLO CONGELADAS;KG;1.99
CAFER;30019;ANILLA CALAMAR S;KG;3.75
CAFER;30020;ARREGLO COCIDO;KG;4.59
CAFER;30021;ARROZ TRES DELICIAS;KG;3.3
CAFER;30026;BACALAO DESMIGADO;KG;5.65
CAFER;30042;BROCOLI CONGELADO;KG;1.08
CAFER;30043;BUÑUELO BACALAO ;KG;3.43
CAFER;30046;CAELLA TAQUITOS;KG;4.09
CAFER;30048;CALABACIN DADO CONGELADO;KG;0.89
CAFER;30049;CALABACIN REBOZADO;KG;2.55
CAFER;30052;CALAMAR LIMPIO 20/40;KG;4.85
CAFER;30053;CALAMAR ROMANA ECO;KG;3.25
CAFER;30060;CARDO CONGELADO;KG;1.95
CAFER;30062;CARNE PICADA CONGELADA;KG;2.29
CAFER;30067;CARRILLERA CON HUESO CONGELADA;KG;3.95
CAFER;30071;CERDO CABEZA DE LOMO CONGELADA;KG;2.85
CAFER;30072;CHAMPIÑON LAMINADO CONGELADO;KG;1.99
CAFER;30075;CHOCO LIMPIO (SEPIA);KG;7.95
CAFER;40026;CHORIZO FRESCO;KG;4
CAFER;30076;CHULETA  AGUJA CERDO CONGELADA;KG;2.99
CAFER;30080;CHURROS LAZO;KG;1.19
CAFER;30081;CINTA LOMO ENTERO CONGELADO;KG;2.99
CAFER;30082;CINTA LOMO FILETES CONGELADO;KG;4.15
CAFER;30083;CODILLO CERDO CONGELADO;KG;2.9
CAFER;30086;COLA RAPE 150/200;KG;3.35
CAFER;30088;COLES BRUSELAS;KG;1.25
CAFER;30089;COLIFLOR;KG;0.92
CAFER;30090;CONEJO CONGELADO;KG;3.99
CAFER;30090-1;CONEJO CONGELADO TROCEADO;KG;3.99
CAFER;30626;CONTRAMUSLO(FTE) S/P Y S/H.POLLO 6K;KG;5.13
CAFER;30094;COSTILLA CERDO CONGELADA;KG;3.6
CAFER;30100;CROQUETA  ARTESANA JAMON-POLLO-BACALAO;KG;1.83
CAFER;30100;CROQUETA  ARTESANA JAMON-POLLO-BACALAO;KG;1.83
CAFER;30100;CROQUETA  ARTESANA JAMON-POLLO-BACALAO;KG;1.83
CAFER;30106-1;CUARTOS TRASEROS CONGELADO;KG;1.65
CAFER;30106;DADO CERDO EXTRA CONGELADO;KG;3.41
CAFER;30108;EMBUTIDO DE MERLUZA;KG;4.35
CAFER;30109;EMPANADA GALLEGA ATUN;KG;8.99
CAFER;30110;EMPANADILLAS;KG;1.99
CAFER;30113;ENSALADILLA;KG;0.79
CAFER;30115;ESPARRAGO TRIGUERO CONGELADO;KG;5.99
CAFER;30116;ESPINACAS C/4x2.5K P/KG NAVARRA;KG;0.98
CAFER;40048;ESPINAZO;KG;4.07
CAFER;30120;FILETE ABADEJO C/P;KG;2.87
CAFER;30121;FILETE BACALADILLA;KG;4.85
CAFER;30122;FILETE BACALAO 500/1000;KG;4.66
CAFER;30127;FILETE FOGONERO;KG;3.6
CAFER;30128;FILETE HALIBUT 100/200;KG;3.35
CAFER;30131;FILETE LIMANDA EXTRA;KG;4.75
CAFER;30285-1;FILETE MERLUZA REBOZADA 4 KG;KG;3.84
CAFER;30136;FILETE MERLUZA S/P;KG;4.55
CAFER;30137;FILETE MERLUZA S/P EXTRA;KG;5.95
CAFER;30142;FILETE PANGA S/P;KG;2.49
CAFER;30143;FILETE PERCA 200/500 S/P;KG;7.95
CAFER;30149;FILETE SARDINA LIMPIA  Y ABIERTA;KG;4.25
CAFER;30150;FILETE TILAPIA S/P;KG;3.64
CAFER;30153;FLAMENQUINES YORK/QUESO;KG;2.59
CAFER;30156;GAMBA ARROCERA;KG;6.99
CAFER;30158;GAMBA PELADA  50/70;KG;4.95
CAFER;30161;GAMBA PELADA 70/100;KG;5.99
CAFER;30164;GUISANTE FINO;KG;1.15
CAFER;30165;HABAS BABY;KG;2.99
CAFER;30167;HAMBURGUESA CALAMAR;KG;4.75
CAFER;30168;HAMBURGUESA MIXTA CONGELADA;KG;1.79
CAFER;30169;HAMBURGUESA TERNERA CONGELADA;KG;3.12
CAFER;30170;HAMBURGUESA VEGETAL;KG;3.99
CAFER;30180;JAMONCITO PAVO C/5K.SARI P/KG;KG;1.63
CAFER;30179;JAMONCITOS DE PAVO CONGELADO;KG;1.87
CAFER;30180;JAMONCITOS POLLO CONGELADOS;KG;1.63
CAFER;30184;JUDIA VERDE PLANA CONGELADA;KG;0.89
CAFER;10517;LANGOSTINO VANAMEI 30/40;KG;12.42
CAFER;30188;LANGOSTINO VANAMEI 50/60;KG;7.1
CAFER;30197;LOMO CAELLA;KG;3.99
CAFER;30198;LOMO MERLUZA;KG;5.65
CAFER;30210;MEJILLONES S/CONCHA P;KG;4.15
CAFER;30211;MENESTRA COMUN;KG;0.98
CAFER;30212;MENESTRA IMPERIAL;KG;1.49
CAFER;40091;PANCETA CURADA FILETEADA;KG;7.75
CAFER;30229;PATATA DOLAR;KG;1.58
CAFER;30230;PATATA FRITA  ALARGADA;KG;0.89
CAFER;30232;PECHUGA DE POLLO ENTERA CONGELADA;KG;4.14
